"type","rating","rat_detail","rat_year","rat_type","name","capacity","current","remain","waiting","phone","addr_si","addr_gu","addr_st","addr_old","lon_x","lat_y"
"주야간보호","A","최우수","2016","절대평가","목련데이케어센터",21,19,3,2,"02-3412-2226","서울특별시","강남구","개포로 617-8","개포동",NA,NA
"주야간보호","A","최우수","2016","절대평가","민들레데이케어센터",23,23,0,4,"02-448-0166","서울특별시","송파구","성내천로 193","마천동",NA,NA
"주야간보호","A","최우수","2016","절대평가","방아골데이케어센터",17,17,0,1,"02-3491-0585","서울특별시","도봉구","시루봉로17길 42","방학동",NA,NA
"주야간보호","A","최우수","2016","절대평가","방학동밀알데이케어센터",17,17,0,0,"02-955-6090","서울특별시","도봉구","해등로 312-20 301호","방학동, 북한산팰리스아파트",37.648914,127.0434879
"주야간보호","A","최우수","2016","절대평가","번동데이케어센터",21,21,0,0,"02-980-3004","서울특별시","강북구","월계로 187 2층","번동",NA,NA
"주야간보호","A","최우수","2016","절대평가","보현데이케어센터",20,18,2,0,"02-394-5511","서울특별시","종로구","평창4길 21-22","평창동",NA,NA
"주야간보호","A","최우수","2016","절대평가","삼육서울병원재가노인복지센터",24,24,0,10,"02-3394-5467","서울특별시","동대문구","망우로 82","휘경동, 삼육서울병원",NA,NA
"주야간보호","A","최우수","2016","절대평가","삼화데이케어센터",21,21,0,4,"02-813-7753","서울특별시","동작구","사당로13길 42","사당동",NA,NA
"주야간보호","A","최우수","2016","절대평가","서울시니어스타워(주)",140,68,72,0,"02-3660-7792","서울특별시","강서구","화곡로68길 102","등촌동",NA,NA
"주야간보호","A","최우수","2016","절대평가","서초노인주간보호센터",24,22,2,19,"02-578-1517","서울특별시","서초구","강남대로30길 73-7","양재동",NA,NA
"주야간보호","A","최우수","2016","절대평가","서초성심노인복지센터",24,24,0,7,"02-582-6004","서울특별시","서초구","반포대로22길 61","서초동",NA,NA
"주야간보호","A","최우수","2016","절대평가","성북미르사랑데이케어센터",20,20,0,0,"02-919-9909","서울특별시","성북구","보국문로 10","정릉동, 부광빌딩 5층",NA,NA
"주야간보호","A","최우수","2016","절대평가","송파노인복지센터",14,14,0,3,"02-2202-3677","서울특별시","송파구","백제고분로41길 19-24","송파동, 신원빌딩 2층",NA,NA
"주야간보호","A","최우수","2016","절대평가","송파버들데이케어센터",29,29,0,44,"02-409-1617","서울특별시","송파구","충민로 184","장지동",NA,NA
"주야간보호","A","최우수","2016","절대평가","수유데이케어센터",21,21,0,1,"02-945-8846","서울특별시","강북구","덕릉로 46 3층","수유동",NA,NA
"주야간보호","A","최우수","2016","절대평가","시립강동노인복지관 데이케어센터",24,24,0,21,"02-426-2048","서울특별시","강동구","동남로71길 32-5 4층","명일동",NA,NA
"주야간보호","A","최우수","2016","절대평가","시립강북노인종합복지관병설 강북노인주간보호센터",24,24,0,0,"02-992-6784","서울특별시","강북구","삼양로92길 40","수유동",NA,NA
"주야간보호","A","최우수","2016","절대평가","시립동부데이케어센터",35,31,4,18,"02-3407-2738","서울특별시","성동구","마장로23길 12","홍익동",NA,NA
"주야간보호","A","최우수","2016","절대평가","시립서대문노인종합복지관주간보호센터",21,21,0,20,"02-363-9980","서울특별시","서대문구","독립문로8길 57","천연동",NA,NA
"주야간보호","A","최우수","2014","상대평가","시립서부데이케어센터",50,49,1,48,"02-376-0472","서울특별시","마포구","월드컵로36길 15","성산동",NA,NA
"주야간보호","A","최우수","2016","절대평가","시립은평노인종합복지관병설은평데이케어센터",35,34,1,2,"02-385-1351","서울특별시","은평구","연서로 415","진관동",NA,NA
"주야간보호","A","최우수","2016","절대평가","신당데이케어센터",42,42,0,5,"02-2231-1949","서울특별시","중구","다산로25길 6","신당동",NA,NA
"주야간보호","A","최우수","2016","절대평가","신명데이케어센터",21,17,0,0,"02-303-0049","서울특별시","은평구","증산로15길 47","신사동",NA,NA
"주야간보호","A","최우수","2016","절대평가","신목행복자리 데이케어센터",20,20,0,3,"02-2643-6647","서울특별시","양천구","신목로 10","신정동",NA,NA
"주야간보호","A","최우수","2016","절대평가","양천어르신종합복지관병설양천데이케어센터",24,24,0,2,"02-2649-7707","서울특별시","양천구","목동로3길 106","신정동",NA,NA
"주야간보호","A","최우수","2016","절대평가","엔젤데이케어센터",21,21,0,3,"02-3476-1004","서울특별시","동작구","사당로16라길 9","사당동",NA,NA
"주야간보호","A","최우수","2016","절대평가","역삼재가노인데이케어센터",35,35,0,0,"02-564-9294","서울특별시","강남구","언주로70길 18","역삼동",37.4970741,127.0471021
"주야간보호","A","최우수","2016","절대평가","영화데이케어센터",21,21,0,2,"02-497-8252","서울특별시","광진구","동일로 322","중곡동",37.5597406,127.0743429
"주야간보호","A","최우수","2016","절대평가","용산데이케어센터",21,21,0,14,"02-794-7787","서울특별시","용산구","독서당로11길 16","한남동",37.5312854,127.0064665
"주야간보호","A","최우수","2016","절대평가","우리마포데이케어센터",30,27,3,13,"02-354-8400","서울특별시","마포구","신촌로26길 10","노고산동",NA,NA
"주야간보호","A","최우수","2016","절대평가","우리모두데이케어센터",17,17,0,0,"02-2658-1118","서울특별시","강서구","화곡로63가길 92 2층","등촌동",NA,NA
"주야간보호","A","최우수","2016","절대평가","우리집데이케어센터",18,18,0,3,"02-6080-7828","서울특별시","영등포구","디지털로 398 3층","대림동",NA,NA
"주야간보호","A","최우수","2016","절대평가","은평신사데이케어센터",21,21,0,0,"02-351-9988","서울특별시","은평구","은평로 6","신사동",NA,NA
"주야간보호","A","최우수","2016","절대평가","인덕데이케어센터",0,27,1,1,"02-3156-7551","서울특별시","은평구","연서로48길 41","진관동",NA,NA
"주야간보호","A","최우수","2016","절대평가","조은복지협동조합",28,27,1,2,"02-395-3955","서울특별시","은평구","서오릉로 31","녹번동",37.6037169,126.9248089
"주야간보호","A","최우수","2016","절대평가","종로데이케어센터",17,17,0,4,"02-741-4904","서울특별시","종로구","지봉로13길 82","창신동, 3층",NA,NA
"주야간보호","A","최우수","2016","절대평가","중화데이케어센터",21,19,2,0,"02-436-1399","서울특별시","중랑구","동일로138길 28","중화동, 중화경로복지관",37.6032644,127.0811483
"주야간보호","A","최우수","2016","절대평가","참사랑데이케어센터",17,17,0,0,"02-3401-5558","서울특별시","송파구","마천로 89","오금동",NA,NA
"주야간보호","A","최우수","2016","절대평가","창5동 데이케어센터",21,21,0,0,"02-995-9119","서울특별시","도봉구","노해로63가길 34","창동",NA,NA
"주야간보호","A","최우수","2016","절대평가","창전데이케어센터",24,26,-2,6,"02-333-1090","서울특별시","마포구","서강로1길 30","창전동, 4층",NA,NA
"주야간보호","A","최우수","2016","절대평가","청담노인복지센터",21,19,2,3,"070-4680-2460","서울특별시","금천구","금하로29길 36","시흥동",NA,NA
"주야간보호","A","최우수","2016","절대평가","평화행복한데이케어센터",24,20,4,0,"02-949-0123","서울특별시","노원구","노원로 331","중계동",NA,NA
"주야간보호","A","최우수","2016","절대평가","한빛데이케어센터",28,27,1,4,"02-2698-9977","서울특별시","양천구","신월로11길 16 5층","신월동, 한빛종합사회복지관",NA,NA
"주야간보호","A","최우수","2016","절대평가","한서데이케어센터",28,28,0,26,"02-333-2390","서울특별시","마포구","월드컵로13길 80","망원동, 1층",NA,NA
"주야간보호","A","최우수","2016","절대평가","행복창조노인복지센터",20,20,0,0,"02-382-1443","서울특별시","은평구","응암로21길 10","응암동",NA,NA
"주야간보호","A","최우수","2016","절대평가","효림데이케어센터",17,17,0,11,"02-313-5124","서울특별시","서대문구","경기대로9길 62","충정로3가",NA,NA
"주야간보호","A","최우수","2016","절대평가","훼미피아데이케어센터",31,27,4,0,"02-3665-0188","서울특별시","강서구","공항대로39길 59","등촌동, 등촌4종합사회복지관 내",NA,NA
"주야간보호","A","최우수","2016","절대평가","희망노인주야간보호센터",20,20,0,0,"02-3394-7591","서울특별시","동대문구","전농로 63-1","답십리동",NA,NA
"주야간보호","B","우수","2016","절대평가","(복)노인낙원은파케어센터",12,12,0,0,"02-597-2284","서울특별시","서초구","방배로20길 17","방배동",NA,NA
"주야간보호","B","우수","2016","절대평가","(사)굿하트 강동요양치료데이케어센터",21,19,2,0,"02-475-9987","서울특별시","강동구","천호대로 1203","길동, T.S 타워 7층",NA,NA
"주야간보호","B","우수","2016","절대평가","갈현데이케어센터",21,21,0,4,"02-357-2640","서울특별시","은평구","통일로89길 12-6","갈현동",37.6248654,126.9186635
"주야간보호","B","우수","2016","절대평가","강서구립 연지데이케어센터",18,17,1,0,"02-2605-7503","서울특별시","강서구","화곡로58길 30-7","화곡동",37.5523755,126.8526478
"주야간보호","B","우수","2016","절대평가","광진주간보호센터",24,24,0,5,"02-466-6247","서울특별시","광진구","군자로 88","군자동",NA,NA
"주야간보호","B","우수","2016","절대평가","구립영등포노인종합복지관병설데이케어센터",35,35,0,0,"02-2068-5325","서울특별시","영등포구","도림로 482","문래동3가",NA,NA
"주야간보호","B","우수","2016","절대평가","구립화원데이케어센터",35,32,3,0,"02-6925-5288","서울특별시","구로구","벚꽃로 484","구로동, 화원종합사회복지관 2층",NA,NA
"주야간보호","B","우수","2016","절대평가","구립효창데이케어센터",21,21,0,15,"02-711-7795","서울특별시","용산구","효창원로 146-12","효창동",NA,NA
"주야간보호","B","우수","2016","절대평가","금천강데이케어센터",25,22,3,4,"02-891-9967","서울특별시","금천구","금하로 658","시흥동, 2~3층",NA,NA
"주야간보호","B","우수","2016","절대평가","금천호암노인종합복지관 부설 금천호암노인복지센터",24,24,0,14,"02-853-2823","서울특별시","금천구","독산로72길 86-5","독산동",NA,NA
"주야간보호","B","우수","2014","상대평가","길음안나데이케어센터",21,20,1,11,"02-940-3510","서울특별시","성북구","길음로9길 46","길음동",NA,NA
"주야간보호","B","우수","2016","절대평가","까리따스데이케어센터",24,24,0,30,"02-523-8303","서울특별시","서초구","남부순환로 2124 4층","방배동",NA,NA
"주야간보호","B","우수","2016","절대평가","노들데이케어센터",17,21,-4,3,"070-7163-0907","서울특별시","동작구","노량진로32길 79","본동",NA,NA
"주야간보호","B","우수","2014","상대평가","노원1치매데이케어센터",17,15,2,0,"02-974-0755","서울특별시","노원구","월계4동 321번지",NA,NA,NA
"주야간보호","B","우수","2016","절대평가","동대문노인종합복지관병설주간보호센터",24,24,0,3,"02-963-2020","서울특별시","동대문구","제기로33길 25","청량리동",NA,NA
"주야간보호","B","우수","2016","절대평가","동작데이케어센터",17,17,0,4,"02-823-0064","서울특별시","동작구","상도로11길 7","대방동",NA,NA
"주야간보호","B","우수","2016","절대평가","둥근마음재가노인센터",21,18,3,0,"02-3662-1254","서울특별시","강서구","강서로68길 36","등촌동",NA,NA
"주야간보호","B","우수","2016","절대평가","명화 데이케어센터",21,21,0,0,"02-459-2696","서울특별시","강남구","광평로51길 49","수서동",NA,NA
"주야간보호","B","우수","2016","절대평가","본마을데이케어센터",17,17,0,16,"02-6933-1515","서울특별시","서초구","본마을2길 2","신원동",NA,NA
"주야간보호","B","우수","2016","절대평가","사당데이케어센터",17,15,2,2,"02-580-2417","서울특별시","동작구","남부순환로 2081","사당동, 사당노인종합복지관",NA,NA
"주야간보호","B","우수","2016","절대평가","상계데이케어센터",18,18,0,4,"02-951-9930","서울특별시","노원구","상계3.4동 101번지 135호",NA,NA,NA
"주야간보호","B","우수","2016","절대평가","서초구립방배노인데이케어센터",20,20,0,7,"02-597-7992","서울특별시","서초구","방배천로 48","방배동",NA,NA
"주야간보호","B","우수","2016","절대평가","서초구립방배데이케어센터",17,14,1,5,"02-3474-7992","서울특별시","서초구","방배천로16길 5","방배동",NA,NA
"주야간보호","B","우수","2016","절대평가","성가정데이케어센터",21,21,0,5,"02-481-2221","서울특별시","강동구","양재대로156길 28","고덕동",NA,NA
"주야간보호","B","우수","2016","절대평가","성동노인종합복지관병설성동데이케이센터",17,17,0,11,"02-2298-5117","서울특별시","성동구","마조로 77","마장동, 시립성동노인종합복지관",NA,NA
"주야간보호","B","우수","2016","절대평가","성북노인종합복지관병설주간보호센터",24,24,0,3,"02-929-4956","서울특별시","성북구","종암로15길 10","종암동, 성북노인종합복지관",NA,NA
"주야간보호","B","우수","2016","절대평가","송파치매주.야간보호센터",34,34,0,2,"02-3431-6736","서울특별시","송파구","백제고분로32길 41","삼전동",37.4986086,127.0948793
"주야간보호","B","우수","2016","절대평가","수실버주야간보호센터",9,9,0,0,"02-448-8400","서울특별시","송파구","성내천로 212 4층","마천동",NA,NA
"주야간보호","B","우수","2016","절대평가","수호데이케어센터",20,17,3,0,"02-888-1088","서울특별시","관악구","인헌길 161-9","봉천동",NA,NA
"주야간보호","B","우수","2016","절대평가","아현 노인복지센터",25,25,0,12,"02-365-3677","서울특별시","마포구","마포대로26길 19","아현동",NA,NA
"주야간보호","B","우수","2016","절대평가","약수데이케어센터",24,23,1,1,"02-825-7071","서울특별시","동작구","양녕로36길 13","상도동",NA,NA
"주야간보호","B","우수","2016","절대평가","역촌데이케어센터",21,21,0,3,"02-385-9500","서울특별시","은평구","연서로3나길 11-30","역촌동",NA,NA
"주야간보호","B","우수","2016","절대평가","왕십리도선동노인복지센터 병설 데이케어센터",24,24,0,3,"02-6925-0456","서울특별시","성동구","마장로 141 4층","상왕십리동",NA,NA
"주야간보호","B","우수","2016","절대평가","은천주간보호센터",19,19,0,6,"02-2249-7253","서울특별시","동대문구","장한로27가길 66","장안동",NA,NA
"주야간보호","B","우수","2016","절대평가","일광재가노인센터",13,12,1,0,"02-742-0755","서울특별시","성북구","보문로31길 70","삼선동3가",NA,NA
"주야간보호","B","우수","2016","절대평가","정릉데이케어센터",18,18,0,0,"02-916-0204","서울특별시","성북구","솔샘로 8","정릉동",NA,NA
"주야간보호","B","우수","2016","절대평가","정수데이케어센터",21,19,1,3,"02-2282-1100","서울특별시","성동구","한림말길 16-5","옥수동",NA,NA
"주야간보호","B","우수","2016","절대평가","중계데이케어센터",35,17,0,0,"02-952-0333","서울특별시","노원구","중계4동 358번지",NA,NA,NA
"주야간보호","B","우수","2016","절대평가","창동밀알데이케어센터",24,21,3,0,"02-995-7890","서울특별시","도봉구","마들로13길 175 3층","창동",NA,NA
"주야간보호","B","우수","2016","절대평가","창천데이케어센터",20,20,0,0,"02-364-0314","서울특별시","서대문구","연세로2나길 61","창천동",NA,NA
"주야간보호","B","우수","2016","절대평가","청운데이케어센터",24,24,0,2,"02-823-3833","서울특별시","동작구","국사봉1길 145","상도동",NA,NA
"주야간보호","B","우수","2016","절대평가","청운실버데이케어센터",20,18,2,5,"02-730-4966","서울특별시","종로구","자하문로28길 29","청운동",NA,NA
"주야간보호","B","우수","2014","상대평가","푸른햇살데이케어센터",22,22,0,4,"02-851-2833","서울특별시","관악구","난곡로 110","신림동",37.4648145,126.9198278
"주야간보호","B","우수","2016","절대평가","풍납데이케어센터",30,30,0,9,"02-473-1227","서울특별시","송파구","강동대로3길 5","풍납동",NA,NA
"주야간보호","B","우수","2016","절대평가","행복데이케어센터",9,6,3,0,"02-936-0055","서울특별시","노원구","한글비석로47길 58 4층","상계동, 우림빌딩",NA,NA
"주야간보호","B","우수","2016","절대평가","휘경데이케어센터",18,18,0,3,"02-2249-0173","서울특별시","동대문구","망우로20가길 34-6","휘경동",NA,NA
"주야간보호","B","우수","2016","절대평가","희망주야간보호센터",34,34,0,3,"02-2681-0692","서울특별시","구로구","중앙로 79","고척동, 고척교회",NA,NA
"주야간보호","C","양호","2016","절대평가","(사)우이데이케어센터",21,20,1,0,"02-905-9989","서울특별시","강북구","삼양로 579 2층","우이동, 화성빌딩",NA,NA
"주야간보호","C","양호","2016","절대평가","강남데이케어센터",17,17,0,7,"02-549-8488","서울특별시","강남구","삼성로 628","삼성동",NA,NA
"주야간보호","C","양호","2016","절대평가","강북실버데이케어센터",34,34,34,5,"02-984-0300","서울특별시","강북구","오패산로 290","미아동",NA,NA
"주야간보호","C","양호","2016","절대평가","광진어르신복지센터",20,19,1,0,"02-499-1515","서울특별시","광진구","자양로51길 11-25","구의동",NA,NA
"주야간보호","C","양호","2016","절대평가","구립 효심데이케어센터",21,20,1,2,"02-2249-9107","서울특별시","동대문구","황물로 30","답십리동",NA,NA
"주야간보호","C","양호","2016","절대평가","구립북가좌데이케어센터",17,17,0,0,"02-376-3080","서울특별시","서대문구","증가로20길 43","북가좌동",NA,NA
"주야간보호","C","양호","2014","상대평가","구립여의도원광데이케어센터",28,28,0,14,"02-782-4438","서울특별시","영등포구","여의대방로68길 15","여의도동, 영창빌딩 3층",NA,NA
"주야간보호","C","양호","2014","상대평가","구립영등포노인복지센터",30,28,2,0,"02-2631-3212","서울특별시","영등포구","선유서로34길 10","양평동3가",NA,NA
"주야간보호","C","양호","2016","절대평가","구립한남데이케어센터",20,20,0,1,"02-790-8884","서울특별시","용산구","독서당로 103","한남동",NA,NA
"주야간보호","C","양호","2016","절대평가","구세군홍제동데이케어센터",20,18,2,2,"02-3217-3275","서울특별시","서대문구","문화촌길 92-12","홍제동",NA,NA
"주야간보호","C","양호","2016","절대평가","길음노인복지센터",17,17,0,0,"02-989-0161","서울특별시","성북구","삼양로8가길 32","길음동",NA,NA
"주야간보호","C","양호","2016","절대평가","노원실버데이케어센터",24,22,2,0,"02-978-7722","서울특별시","노원구","동일로 1097","공릉동",NA,NA
"주야간보호","C","양호","2014","상대평가","노인주간보호센터은빛마을",21,21,0,36,"02-3477-1011","서울특별시","서초구","신반포로33길 22","잠원동",NA,NA
"주야간보호","C","양호","2014","상대평가","동원데이케어센터",21,21,0,0,"02-957-0806","서울특별시","동대문구","정릉천동로 136-1","제기동",NA,NA
"주야간보호","C","양호","2014","상대평가","망원데이케어센터",24,24,0,14,"02-325-9719","서울특별시","마포구","월드컵로11길 61","망원동",NA,NA
"주야간보호","C","양호","2014","상대평가","목민데이케어센터",21,21,0,1,"02-2601-1007","서울특별시","양천구","신월로 270","신정동",37.5216171,126.8510816
"주야간보호","C","양호","2016","절대평가","무수골데이케어센터",17,17,0,4,"02-3494-6088","서울특별시","도봉구","도봉로169가길 52 2층","도봉동",NA,NA
"주야간보호","C","양호","2014","상대평가","보사노인복지센터",14,14,0,0,"02-332-2749","서울특별시","마포구","동교로 132-3","서교동",NA,NA
"주야간보호","C","양호","2016","절대평가","부모사랑 사회복지센터",18,18,0,1,"02-909-0213","서울특별시","노원구","월계로 338 상가A동501호","월계동, 신도브래뉴",NA,NA
"주야간보호","C","양호","2016","절대평가","상도데이케어센터",24,21,0,1,"02-824-6018","서울특별시","동작구","상도로39가길 7","상도1동",37.5024523,126.9496379
"주야간보호","C","양호","2014","상대평가","새마음데이케어센터",21,19,2,1,"070-4222-9955","서울특별시","양천구","월정로 175 1층","신월동",NA,NA
"주야간보호","C","양호","2016","절대평가","송파문정데이케어센터",40,39,1,3,"02-403-3677","서울특별시","송파구","동남로4길 36","문정동, FI빌딩, 5,6층",NA,NA
"주야간보호","C","양호","2016","절대평가","송학데이케어센터",21,21,0,3,"02-812-6017","서울특별시","동작구","양녕로27길 41 3,4,5층","상도동",NA,NA
"주야간보호","C","양호","2016","절대평가","수실버간호센터",9,6,3,0,"02-448-8400","서울특별시","송파구","성내천로 212 3층","마천동",NA,NA
"주야간보호","C","양호","2014","상대평가","시립노원노인종합복지관병설 노원데이케어센터",17,16,1,0,"02-948-8540","서울특별시","노원구","노원로16길 15","하계동, 시립노원노인종합복지관",NA,NA
"주야간보호","C","양호","2014","상대평가","아현실버데이케어센터",17,17,0,25,"02-312-1211","서울특별시","마포구","환일길 3","아현동",NA,NA
"주야간보호","C","양호","2016","절대평가","어르신이행복한세상주야간보호센터",9,3,6,0,"02-2646-3898","서울특별시","양천구","신월로 338","신정동, 원빌딩2층",37.5214991,126.8585237
"주야간보호","C","양호","2014","상대평가","연희데이케어센터",15,15,0,0,"02-333-9910","서울특별시","서대문구","성산로 271","연희동",NA,NA
"주야간보호","C","양호","2016","절대평가","은빛노인요양주야간보호",9,7,2,0,"02-402-1005","서울특별시","송파구","거마로 99 1층","마천동",NA,NA
"주야간보호","C","양호","2014","상대평가","중랑데이케어센터",18,17,1,6,"02-432-9996","서울특별시","중랑구","겸재로9길 45","면목동",NA,NA
"주야간보호","C","양호","2014","상대평가","창동노인주간보호센터",14,13,1,0,"02-991-4396","서울특별시","도봉구","창제1동 374번지",NA,NA,NA
"주야간보호","C","양호","2014","상대평가","흑석데이케어센터",24,24,0,3,"02-825-0511","서울특별시","동작구","흑석한강로 13","흑석동",NA,NA
"주야간보호","D","보통","2016","절대평가","강동구립쉼터데이케어센터",21,14,7,0,"02-479-0201","서울특별시","강동구","올림픽로89길 27-23","천호동",NA,NA
"주야간보호","D","보통","2016","절대평가","강북시니어데이케어센터",31,24,7,0,"02-995-6090","서울특별시","강북구","삼양로 412 2층","수유동",NA,NA
"주야간보호","D","보통","2016","절대평가","고수련노인복지센터",45,21,12,0,"070-8279-0333","서울특별시","노원구","상계로27길 32 5층","상계동",NA,NA
"주야간보호","D","보통","2016","절대평가","구립용마데이케어센터",21,21,0,3,"02-435-0293","서울특별시","중랑구","용마산로94길 98","면목동",37.5874821,127.1018977
"주야간보호","D","보통","2014","상대평가","남부실버 재가복지센터",9,5,4,0,"02-804-1957","서울특별시","금천구","범안로12가길 59","독산동",NA,NA
"주야간보호","D","보통","2014","상대평가","늘푸른노인복지센터",19,18,1,0,"02-356-6119","서울특별시","은평구","갈현로 139","구산동, 1층",NA,NA
"주야간보호","D","보통","2016","절대평가","동대문구립 장안정데이케어센터",20,20,0,5,"02-2247-9988","서울특별시","동대문구","장한로 51","장안동, 성안빌딩 2층",NA,NA
"주야간보호","D","보통","2014","상대평가","동대문실버데이케어센터",24,23,1,2,"02-920-4548","서울특별시","동대문구","약령시로5길 22","제기동",NA,NA
"주야간보호","D","보통","2016","절대평가","불광데이케어센터",17,17,0,0,"02-385-3222","서울특별시","은평구","연서로32길 17-11","불광동",NA,NA
