시도,시군구,자격별,성별,연령구분,신청자, 계 , 1등급 , 2등급 , 3등급 , 4등급 , 5등급 , 등급외 
서울특별시,종로구,의료,남자,80-84세,2,2,0,0,1,1,0,0
서울특별시,종로구,의료,남자,85세이상,2,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,65-69세,1,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,70-74세,0,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,75-79세,1,0,0,0,0,0,0,0
서울특별시,종로구,의료,여자,80-84세,4,3,0,2,0,0,1,0
서울특별시,종로구,의료,여자,85세이상,2,2,0,1,1,0,0,0
서울특별시,종로구,감경,남자,65세미만,3,3,0,0,1,2,0,0
서울특별시,종로구,감경,남자,65-69세,5,5,0,0,3,2,0,0
서울특별시,종로구,감경,남자,70-74세,9,9,0,2,3,4,0,0
서울특별시,종로구,감경,남자,75-79세,10,9,0,2,3,3,1,1
서울특별시,종로구,감경,남자,80-84세,7,4,1,0,1,1,1,1
서울특별시,종로구,감경,남자,85세이상,13,13,1,1,4,6,1,0
서울특별시,종로구,감경,여자,65세미만,3,3,0,0,2,1,0,0
서울특별시,종로구,감경,여자,65-69세,7,5,0,3,2,0,0,1
서울특별시,종로구,감경,여자,70-74세,11,10,1,1,2,6,0,0
서울특별시,종로구,감경,여자,75-79세,20,17,2,5,4,4,2,2
서울특별시,종로구,감경,여자,80-84세,29,26,8,5,5,6,2,1
서울특별시,종로구,감경,여자,85세이상,60,57,9,12,15,19,2,0
서울특별시,중구,일반,남자,65세미만,29,10,3,0,5,2,0,11
서울특별시,중구,일반,남자,65-69세,39,18,1,3,11,3,0,10
서울특별시,중구,일반,남자,70-74세,41,20,1,6,6,6,1,10
서울특별시,중구,일반,남자,75-79세,58,39,2,7,15,14,1,5
서울특별시,중구,일반,남자,80-84세,81,60,3,9,28,18,2,6
서울특별시,중구,일반,남자,85세이상,79,44,5,4,19,16,0,11
서울특별시,중구,일반,여자,65세미만,25,11,1,1,7,2,0,9
서울특별시,중구,일반,여자,65-69세,60,18,2,3,3,10,0,21
서울특별시,중구,일반,여자,70-74세,82,31,3,1,10,9,8,18
서울특별시,중구,일반,여자,75-79세,163,86,6,15,24,31,10,30
서울특별시,중구,일반,여자,80-84세,208,148,15,24,52,48,9,23
서울특별시,중구,일반,여자,85세이상,248,195,19,39,69,60,8,18
서울특별시,중구,기초,남자,65세미만,19,8,3,1,3,1,0,6
서울특별시,중구,기초,남자,65-69세,14,5,0,1,2,1,1,2
서울특별시,중구,기초,남자,70-74세,14,6,0,0,3,3,0,5
서울특별시,중구,기초,남자,75-79세,17,6,0,0,1,5,0,5
서울특별시,중구,기초,남자,80-84세,14,10,2,1,3,3,1,1
서울특별시,중구,기초,남자,85세이상,7,5,1,0,2,2,0,0
서울특별시,중구,기초,여자,65세미만,1,1,0,0,1,0,0,0
서울특별시,중구,기초,여자,65-69세,19,5,0,2,2,0,1,7
서울특별시,중구,기초,여자,70-74세,34,8,0,1,1,3,3,18
서울특별시,중구,기초,여자,75-79세,49,20,1,1,6,10,2,22
서울특별시,중구,기초,여자,80-84세,51,24,3,3,5,10,3,15
서울특별시,중구,기초,여자,85세이상,52,28,1,2,13,12,0,11
서울특별시,중구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,중구,의료,남자,65-69세,0,0,0,0,0,0,0,0
서울특별시,중구,의료,남자,70-74세,0,0,0,0,0,0,0,0
서울특별시,중구,의료,남자,75-79세,1,0,0,0,0,0,0,1
서울특별시,중구,의료,남자,80-84세,2,1,0,0,1,0,0,0
서울특별시,중구,의료,남자,85세이상,2,1,0,0,0,1,0,1
서울특별시,중구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,중구,의료,여자,65-69세,0,0,0,0,0,0,0,0
서울특별시,중구,의료,여자,70-74세,2,0,0,0,0,0,0,1
서울특별시,중구,의료,여자,75-79세,3,1,0,0,0,0,1,2
서울특별시,중구,의료,여자,80-84세,2,2,0,0,1,0,1,0
서울특별시,중구,의료,여자,85세이상,3,2,0,0,1,1,0,1
서울특별시,중구,감경,남자,65세미만,3,2,0,1,1,0,0,1
서울특별시,중구,감경,남자,65-69세,5,5,0,0,3,1,1,0
서울특별시,중구,감경,남자,70-74세,12,10,3,4,2,1,0,2
서울특별시,중구,감경,남자,75-79세,6,4,1,0,2,1,0,1
서울특별시,중구,감경,남자,80-84세,2,2,0,0,1,1,0,0
서울특별시,중구,감경,남자,85세이상,6,6,0,0,1,4,1,0
서울특별시,중구,감경,여자,65세미만,3,3,0,0,2,0,1,0
서울특별시,중구,감경,여자,65-69세,4,2,0,1,1,0,0,1
서울특별시,중구,감경,여자,70-74세,7,6,0,0,2,3,1,1
서울특별시,중구,감경,여자,75-79세,11,10,1,0,7,1,1,1
서울특별시,중구,감경,여자,80-84세,25,22,1,5,9,7,0,2
서울특별시,중구,감경,여자,85세이상,44,44,2,8,19,11,4,0
서울특별시,용산구,일반,남자,65세미만,34,15,2,4,5,4,0,6
서울특별시,용산구,일반,남자,65-69세,58,35,7,6,11,10,1,3
서울특별시,용산구,일반,남자,70-74세,89,62,9,11,23,19,0,6
서울특별시,용산구,일반,남자,75-79세,105,66,8,12,27,14,5,10
서울특별시,용산구,일반,남자,80-84세,117,82,10,12,28,26,6,12
서울특별시,용산구,일반,남자,85세이상,149,116,11,24,34,39,8,10
서울특별시,용산구,일반,여자,65세미만,31,20,6,6,5,3,0,4
서울특별시,용산구,일반,여자,65-69세,60,28,6,2,12,7,1,9
서울특별시,용산구,일반,여자,70-74세,137,58,7,15,17,16,3,20
서울특별시,용산구,일반,여자,75-79세,294,147,7,20,53,57,10,45
서울특별시,용산구,일반,여자,80-84세,331,207,19,22,64,82,20,50
서울특별시,용산구,일반,여자,85세이상,482,353,34,71,139,93,16,47
서울특별시,용산구,기초,남자,65세미만,19,9,1,0,3,4,1,6
서울특별시,용산구,기초,남자,65-69세,24,7,0,1,1,5,0,7
서울특별시,용산구,기초,남자,70-74세,24,8,1,3,1,3,0,5
서울특별시,용산구,기초,남자,75-79세,17,8,0,1,3,4,0,6
서울특별시,용산구,기초,남자,80-84세,11,1,0,0,1,0,0,4
서울특별시,용산구,기초,남자,85세이상,9,4,1,1,1,1,0,4
서울특별시,용산구,기초,여자,65세미만,11,8,1,3,1,3,0,2
서울특별시,용산구,기초,여자,65-69세,37,11,1,1,2,7,0,7
서울특별시,용산구,기초,여자,70-74세,48,12,0,0,3,6,3,10
서울특별시,용산구,기초,여자,75-79세,59,22,1,2,9,10,0,18
서울특별시,용산구,기초,여자,80-84세,50,24,3,1,8,11,1,14
서울특별시,용산구,기초,여자,85세이상,69,46,3,7,18,17,1,14
서울특별시,용산구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,용산구,의료,남자,65-69세,1,0,0,0,0,0,0,0
서울특별시,용산구,의료,남자,70-74세,1,1,0,0,1,0,0,0
서울특별시,용산구,의료,남자,75-79세,0,0,0,0,0,0,0,0
서울특별시,용산구,의료,남자,80-84세,3,1,0,0,1,0,0,1
서울특별시,용산구,의료,남자,85세이상,3,2,0,0,1,1,0,0
서울특별시,용산구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,용산구,의료,여자,65-69세,0,0,0,0,0,0,0,0
서울특별시,용산구,의료,여자,70-74세,2,0,0,0,0,0,0,1
서울특별시,용산구,의료,여자,75-79세,1,1,0,0,0,1,0,0
서울특별시,용산구,의료,여자,80-84세,5,4,0,0,1,3,0,0
서울특별시,용산구,의료,여자,85세이상,4,4,0,1,2,1,0,0
서울특별시,용산구,감경,남자,65세미만,6,4,0,1,1,1,1,0
서울특별시,용산구,감경,남자,65-69세,3,3,0,0,3,0,0,0
서울특별시,용산구,감경,남자,70-74세,3,3,0,0,2,1,0,0
서울특별시,용산구,감경,남자,75-79세,10,8,1,2,2,3,0,0
서울특별시,용산구,감경,남자,80-84세,11,9,1,0,4,4,0,2
서울특별시,용산구,감경,남자,85세이상,12,12,1,4,3,4,0,0
서울특별시,용산구,감경,여자,65세미만,3,3,1,0,1,1,0,0
서울특별시,용산구,감경,여자,65-69세,6,6,1,0,3,1,1,0
서울특별시,용산구,감경,여자,70-74세,18,16,1,7,3,5,0,0
서울특별시,용산구,감경,여자,75-79세,29,27,8,4,3,11,1,1
서울특별시,용산구,감경,여자,80-84세,30,30,4,3,12,9,2,0
서울특별시,용산구,감경,여자,85세이상,72,70,5,15,29,20,1,0
서울특별시,성동구,일반,남자,65세미만,46,26,4,4,11,7,0,10
서울특별시,성동구,일반,남자,65-69세,64,36,7,5,10,12,2,7
서울특별시,성동구,일반,남자,70-74세,133,76,8,7,31,26,4,17
서울특별시,성동구,일반,남자,75-79세,156,104,10,16,22,49,7,11
서울특별시,성동구,일반,남자,80-84세,148,101,8,12,23,48,10,14
서울특별시,성동구,일반,남자,85세이상,116,84,6,10,32,29,7,9
서울특별시,성동구,일반,여자,65세미만,53,38,8,7,14,8,1,9
서울특별시,성동구,일반,여자,65-69세,91,33,5,4,9,15,0,23
서울특별시,성동구,일반,여자,70-74세,221,118,12,13,36,43,14,35
서울특별시,성동구,일반,여자,75-79세,364,213,16,18,59,88,32,47
서울특별시,성동구,일반,여자,80-84세,455,308,19,37,97,112,43,55
서울특별시,성동구,일반,여자,85세이상,526,409,24,73,149,138,25,35
서울특별시,성동구,기초,남자,65세미만,29,17,1,4,6,5,1,3
서울특별시,성동구,기초,남자,65-69세,12,3,0,0,2,0,1,5
서울특별시,성동구,기초,남자,70-74세,29,12,0,2,5,3,2,5
서울특별시,성동구,기초,남자,75-79세,35,16,1,4,5,5,1,10
서울특별시,성동구,기초,남자,80-84세,14,8,1,1,1,2,3,1
서울특별시,성동구,기초,남자,85세이상,12,8,1,1,2,3,1,1
서울특별시,성동구,기초,여자,65세미만,14,8,3,0,2,1,2,3
서울특별시,성동구,기초,여자,65-69세,32,12,2,2,1,7,0,9
서울특별시,성동구,기초,여자,70-74세,49,28,2,4,6,12,4,7
서울특별시,성동구,기초,여자,75-79세,79,37,1,5,13,16,2,17
서울특별시,성동구,기초,여자,80-84세,79,42,3,3,12,15,9,18
서울특별시,성동구,기초,여자,85세이상,83,67,5,7,20,31,4,3
서울특별시,성동구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,성동구,의료,남자,65-69세,1,0,0,0,0,0,0,1
서울특별시,성동구,의료,남자,70-74세,1,1,0,0,1,0,0,0
서울특별시,성동구,의료,남자,75-79세,0,0,0,0,0,0,0,0
서울특별시,성동구,의료,남자,80-84세,1,1,0,0,0,0,1,0
서울특별시,성동구,의료,남자,85세이상,1,1,0,1,0,0,0,0
서울특별시,성동구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,성동구,의료,여자,65-69세,0,0,0,0,0,0,0,0
서울특별시,성동구,의료,여자,70-74세,1,0,0,0,0,0,0,0
서울특별시,성동구,의료,여자,75-79세,4,2,1,0,0,1,0,2
서울특별시,성동구,의료,여자,80-84세,0,0,0,0,0,0,0,0
서울특별시,성동구,의료,여자,85세이상,4,2,0,1,1,0,0,1
서울특별시,성동구,감경,남자,65세미만,11,9,2,0,3,2,2,0
서울특별시,성동구,감경,남자,65-69세,9,9,0,1,4,3,1,0
서울특별시,성동구,감경,남자,70-74세,12,10,1,0,4,4,1,1
서울특별시,성동구,감경,남자,75-79세,24,22,3,1,8,7,3,1
서울특별시,성동구,감경,남자,80-84세,16,16,1,1,7,6,1,0
서울특별시,성동구,감경,남자,85세이상,17,16,0,2,6,5,3,0
서울특별시,성동구,감경,여자,65세미만,9,8,2,0,2,4,0,1
서울특별시,성동구,감경,여자,65-69세,10,7,1,0,2,3,1,3
서울특별시,성동구,감경,여자,70-74세,25,21,2,2,10,7,0,2
서울특별시,성동구,감경,여자,75-79세,50,46,2,4,21,14,5,2
서울특별시,성동구,감경,여자,80-84세,65,59,3,10,21,19,6,1
서울특별시,성동구,감경,여자,85세이상,94,89,7,15,33,28,6,2
서울특별시,광진구,일반,남자,65세미만,59,22,5,3,8,6,0,15
서울특별시,광진구,일반,남자,65-69세,87,47,6,6,19,14,2,10
서울특별시,광진구,일반,남자,70-74세,124,74,9,10,30,22,3,18
서울특별시,광진구,일반,남자,75-79세,196,123,10,11,54,44,4,25
서울특별시,광진구,일반,남자,80-84세,184,124,5,12,53,48,6,25
서울특별시,광진구,일반,남자,85세이상,160,110,4,10,49,42,5,13
서울특별시,광진구,일반,여자,65세미만,38,26,3,4,12,6,1,5
서울특별시,광진구,일반,여자,65-69세,104,53,8,5,18,16,6,21
서울특별시,광진구,일반,여자,70-74세,214,98,7,14,34,31,12,43
서울특별시,광진구,일반,여자,75-79세,430,224,20,37,72,74,21,84
서울특별시,광진구,일반,여자,80-84세,456,303,14,36,107,116,30,63
서울특별시,광진구,일반,여자,85세이상,606,482,28,108,199,125,22,45
서울특별시,광진구,기초,남자,65세미만,29,16,3,1,9,3,0,7
서울특별시,광진구,기초,남자,65-69세,16,6,0,1,1,4,0,4
서울특별시,광진구,기초,남자,70-74세,11,6,0,0,5,1,0,2
서울특별시,광진구,기초,남자,75-79세,20,11,2,0,5,3,1,4
서울특별시,광진구,기초,남자,80-84세,14,6,1,0,0,4,1,7
서울특별시,광진구,기초,남자,85세이상,11,8,0,1,4,3,0,2
서울특별시,광진구,기초,여자,65세미만,23,14,4,0,4,3,3,3
서울특별시,광진구,기초,여자,65-69세,25,10,0,1,2,6,1,7
서울특별시,광진구,기초,여자,70-74세,57,26,1,3,12,7,3,15
서울특별시,광진구,기초,여자,75-79세,91,39,2,4,11,17,5,28
서울특별시,광진구,기초,여자,80-84세,89,46,0,7,16,18,5,26
서울특별시,광진구,기초,여자,85세이상,101,71,2,8,24,33,4,17
서울특별시,광진구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,광진구,의료,남자,65-69세,1,1,0,0,1,0,0,0
서울특별시,광진구,의료,남자,70-74세,0,0,0,0,0,0,0,0
서울특별시,광진구,의료,남자,75-79세,3,2,0,1,0,1,0,0
서울특별시,광진구,의료,남자,80-84세,3,1,0,0,1,0,0,0
서울특별시,광진구,의료,남자,85세이상,6,4,0,0,1,1,2,0
서울특별시,광진구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,광진구,의료,여자,65-69세,0,0,0,0,0,0,0,0
서울특별시,광진구,의료,여자,70-74세,2,0,0,0,0,0,0,1
서울특별시,광진구,의료,여자,75-79세,5,3,0,1,1,1,0,0
서울특별시,광진구,의료,여자,80-84세,5,2,0,0,2,0,0,0
서울특별시,광진구,의료,여자,85세이상,11,9,0,1,2,6,0,1
서울특별시,광진구,감경,남자,65세미만,9,8,1,0,6,1,0,1
서울특별시,광진구,감경,남자,65-69세,10,9,1,1,5,1,1,0
서울특별시,광진구,감경,남자,70-74세,16,14,0,3,3,6,2,1
서울특별시,광진구,감경,남자,75-79세,15,14,3,1,7,3,0,0
서울특별시,광진구,감경,남자,80-84세,15,14,2,0,6,5,1,0
서울특별시,광진구,감경,남자,85세이상,13,13,0,0,6,7,0,0
서울특별시,광진구,감경,여자,65세미만,14,12,3,1,5,2,1,0
서울특별시,광진구,감경,여자,65-69세,16,10,2,0,3,5,0,4
서울특별시,광진구,감경,여자,70-74세,25,21,2,0,6,13,0,2
서울특별시,광진구,감경,여자,75-79세,56,51,3,11,14,20,3,1
서울특별시,광진구,감경,여자,80-84세,72,68,4,11,30,20,3,2
서울특별시,광진구,감경,여자,85세이상,126,120,4,17,58,35,6,3
서울특별시,동대문구,일반,남자,65세미만,111,60,16,8,23,12,1,10
서울특별시,동대문구,일반,남자,65-69세,152,84,16,12,23,31,2,13
서울특별시,동대문구,일반,남자,70-74세,202,139,18,29,59,32,1,9
서울특별시,동대문구,일반,남자,75-79세,290,204,33,34,58,64,15,24
서울특별시,동대문구,일반,남자,80-84세,233,183,11,33,66,61,12,13
서울특별시,동대문구,일반,남자,85세이상,190,141,17,20,62,39,3,15
서울특별시,동대문구,일반,여자,65세미만,91,60,17,6,24,12,1,7
서울특별시,동대문구,일반,여자,65-69세,158,79,13,14,29,22,1,22
서울특별시,동대문구,일반,여자,70-74세,327,180,21,32,57,58,12,29
서울특별시,동대문구,일반,여자,75-79세,552,351,46,53,104,121,27,66
서울특별시,동대문구,일반,여자,80-84세,654,482,37,79,175,165,26,42
서울특별시,동대문구,일반,여자,85세이상,678,552,43,106,204,183,16,37
서울특별시,동대문구,기초,남자,65세미만,73,39,9,4,16,9,1,10
서울특별시,동대문구,기초,남자,65-69세,69,23,4,1,9,9,0,14
서울특별시,동대문구,기초,남자,70-74세,61,31,3,6,8,13,1,9
서울특별시,동대문구,기초,남자,75-79세,58,30,2,4,9,13,2,11
서울특별시,동대문구,기초,남자,80-84세,45,23,1,2,10,10,0,9
서울특별시,동대문구,기초,남자,85세이상,16,12,1,2,3,6,0,2
서울특별시,동대문구,기초,여자,65세미만,39,25,2,2,8,12,1,3
서울특별시,동대문구,기초,여자,65-69세,91,39,5,3,12,18,1,13
서울특별시,동대문구,기초,여자,70-74세,131,55,3,8,13,31,0,29
서울특별시,동대문구,기초,여자,75-79세,160,98,7,12,36,39,4,24
서울특별시,동대문구,기초,여자,80-84세,135,84,3,9,30,36,6,24
서울특별시,동대문구,기초,여자,85세이상,169,141,13,27,53,42,6,8
서울특별시,동대문구,의료,남자,65세미만,1,0,0,0,0,0,0,1
서울특별시,동대문구,의료,남자,65-69세,1,1,0,0,1,0,0,0
서울특별시,동대문구,의료,남자,70-74세,0,0,0,0,0,0,0,0
서울특별시,동대문구,의료,남자,75-79세,2,1,0,0,0,1,0,0
서울특별시,동대문구,의료,남자,80-84세,4,4,0,2,1,1,0,0
서울특별시,동대문구,의료,남자,85세이상,2,2,0,1,0,1,0,0
서울특별시,동대문구,의료,여자,65세미만,1,0,0,0,0,0,0,0
서울특별시,동대문구,의료,여자,65-69세,1,0,0,0,0,0,0,1
서울특별시,동대문구,의료,여자,70-74세,4,1,0,0,1,0,0,1
서울특별시,동대문구,의료,여자,75-79세,3,2,1,1,0,0,0,0
서울특별시,동대문구,의료,여자,80-84세,15,12,2,4,2,4,0,1
서울특별시,동대문구,의료,여자,85세이상,7,6,1,1,1,3,0,1
서울특별시,동대문구,감경,남자,65세미만,31,27,0,5,12,9,1,0
서울특별시,동대문구,감경,남자,65-69세,20,20,3,1,5,11,0,0
서울특별시,동대문구,감경,남자,70-74세,23,21,4,3,6,6,2,1
서울특별시,동대문구,감경,남자,75-79세,33,31,4,4,14,8,1,1
서울특별시,동대문구,감경,남자,80-84세,31,28,1,4,11,11,1,1
서울특별시,동대문구,감경,남자,85세이상,27,27,3,3,8,12,1,0
서울특별시,동대문구,감경,여자,65세미만,11,10,3,1,5,1,0,0
서울특별시,동대문구,감경,여자,65-69세,20,20,4,2,9,4,1,0
서울특별시,동대문구,감경,여자,70-74세,44,37,1,9,13,13,1,2
서울특별시,동대문구,감경,여자,75-79세,82,76,8,17,20,25,6,3
서울특별시,동대문구,감경,여자,80-84세,108,98,9,20,40,27,2,1
서울특별시,동대문구,감경,여자,85세이상,180,177,14,45,69,47,2,0
서울특별시,중랑구,일반,남자,65세미만,135,81,7,13,41,18,2,22
서울특별시,중랑구,일반,남자,65-69세,139,80,9,8,40,21,2,21
서울특별시,중랑구,일반,남자,70-74세,214,129,20,13,49,41,6,22
서울특별시,중랑구,일반,남자,75-79세,228,155,10,27,63,44,11,26
서울특별시,중랑구,일반,남자,80-84세,193,120,10,13,38,47,12,19
서울특별시,중랑구,일반,남자,85세이상,156,108,11,19,42,30,6,17
서울특별시,중랑구,일반,여자,65세미만,116,74,9,10,34,17,4,20
서울특별시,중랑구,일반,여자,65-69세,183,90,12,8,36,32,2,25
서울특별시,중랑구,일반,여자,70-74세,333,174,20,25,56,61,12,48
서울특별시,중랑구,일반,여자,75-79세,558,303,26,47,94,104,32,91
서울특별시,중랑구,일반,여자,80-84세,602,409,32,65,125,152,35,56
서울특별시,중랑구,일반,여자,85세이상,692,561,52,110,200,171,28,43
서울특별시,중랑구,기초,남자,65세미만,102,77,14,14,25,21,3,11
서울특별시,중랑구,기초,남자,65-69세,75,36,3,5,7,20,1,20
서울특별시,중랑구,기초,남자,70-74세,62,29,3,2,11,13,0,13
서울특별시,중랑구,기초,남자,75-79세,65,48,2,10,18,16,2,10
서울특별시,중랑구,기초,남자,80-84세,39,27,2,6,8,8,3,6
서울특별시,중랑구,기초,남자,85세이상,25,16,0,3,10,3,0,3
서울특별시,중랑구,기초,여자,65세미만,45,36,6,3,12,14,1,3
서울특별시,중랑구,기초,여자,65-69세,89,45,5,8,10,19,3,24
서울특별시,중랑구,기초,여자,70-74세,144,72,11,5,21,30,5,37
서울특별시,중랑구,기초,여자,75-79세,210,126,9,17,48,48,4,51
서울특별시,중랑구,기초,여자,80-84세,207,140,13,27,48,47,5,33
서울특별시,중랑구,기초,여자,85세이상,312,257,26,53,95,78,5,24
서울특별시,중랑구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,중랑구,의료,남자,65-69세,1,1,0,1,0,0,0,0
서울특별시,중랑구,의료,남자,70-74세,1,0,0,0,0,0,0,1
서울특별시,중랑구,의료,남자,75-79세,1,0,0,0,0,0,0,1
서울특별시,중랑구,의료,남자,80-84세,3,0,0,0,0,0,0,1
서울특별시,중랑구,의료,남자,85세이상,8,5,0,0,3,2,0,2
서울특별시,중랑구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,중랑구,의료,여자,65-69세,2,2,0,0,1,1,0,0
서울특별시,중랑구,의료,여자,70-74세,4,1,0,0,0,1,0,2
서울특별시,중랑구,의료,여자,75-79세,8,4,0,0,3,1,0,2
서울특별시,중랑구,의료,여자,80-84세,16,11,0,5,4,2,0,4
서울특별시,중랑구,의료,여자,85세이상,12,11,2,0,6,3,0,1
서울특별시,중랑구,감경,남자,65세미만,36,32,4,3,16,6,3,1
서울특별시,중랑구,감경,남자,65-69세,31,28,1,4,18,3,2,0
서울특별시,중랑구,감경,남자,70-74세,38,30,5,1,14,9,1,4
서울특별시,중랑구,감경,남자,75-79세,36,34,5,7,10,11,1,1
서울특별시,중랑구,감경,남자,80-84세,27,27,4,3,8,12,0,0
서울특별시,중랑구,감경,남자,85세이상,18,15,2,0,9,4,0,2
서울특별시,중랑구,감경,여자,65세미만,21,21,2,2,7,10,0,0
서울특별시,중랑구,감경,여자,65-69세,30,26,4,6,7,9,0,1
서울특별시,중랑구,감경,여자,70-74세,61,44,7,8,12,14,3,9
서울특별시,중랑구,감경,여자,75-79세,103,94,12,14,34,27,7,4
서울특별시,중랑구,감경,여자,80-84세,109,99,13,29,31,21,5,3
서울특별시,중랑구,감경,여자,85세이상,216,208,10,49,79,58,12,2
서울특별시,성북구,일반,남자,65세미만,93,51,16,9,21,5,0,20
서울특별시,성북구,일반,남자,65-69세,138,82,15,12,28,25,2,22
서울특별시,성북구,일반,남자,70-74세,228,142,9,27,62,38,6,32
서울특별시,성북구,일반,남자,75-79세,309,205,20,30,84,58,13,31
서울특별시,성북구,일반,남자,80-84세,307,217,16,31,87,62,21,34
서울특별시,성북구,일반,남자,85세이상,224,168,28,24,53,51,12,11
서울특별시,성북구,일반,여자,65세미만,82,40,13,2,11,14,0,19
서울특별시,성북구,일반,여자,65-69세,192,88,9,16,35,25,3,40
서울특별시,성북구,일반,여자,70-74세,395,197,33,24,59,67,14,72
서울특별시,성북구,일반,여자,75-79세,669,388,46,63,122,126,31,108
서울특별시,성북구,일반,여자,80-84세,771,537,42,89,204,166,36,76
서울특별시,성북구,일반,여자,85세이상,857,674,66,142,276,168,22,55
서울특별시,성북구,기초,남자,65세미만,77,42,6,5,15,13,3,15
서울특별시,성북구,기초,남자,65-69세,42,15,2,2,6,5,0,12
서울특별시,성북구,기초,남자,70-74세,59,26,1,4,11,10,0,12
서울특별시,성북구,기초,남자,75-79세,49,25,2,3,8,10,2,11
서울특별시,성북구,기초,남자,80-84세,35,22,2,1,6,8,5,7
서울특별시,성북구,기초,남자,85세이상,16,9,1,0,2,5,1,3
서울특별시,성북구,기초,여자,65세미만,29,22,1,7,8,4,2,4
서울특별시,성북구,기초,여자,65-69세,75,26,0,2,10,14,0,21
서울특별시,성북구,기초,여자,70-74세,103,46,3,4,18,19,2,29
서울특별시,성북구,기초,여자,75-79세,156,75,5,9,25,29,7,36
서울특별시,성북구,기초,여자,80-84세,163,101,4,7,44,44,2,22
서울특별시,성북구,기초,여자,85세이상,189,147,16,26,54,45,6,16
서울특별시,성북구,의료,남자,65세미만,0,0,0,0,0,0,0,0
서울특별시,성북구,의료,남자,65-69세,3,1,1,0,0,0,0,0
서울특별시,성북구,의료,남자,70-74세,1,1,0,0,1,0,0,0
서울특별시,성북구,의료,남자,75-79세,1,0,0,0,0,0,0,0
서울특별시,성북구,의료,남자,80-84세,7,4,0,0,2,2,0,0
서울특별시,성북구,의료,남자,85세이상,6,4,1,1,0,1,1,0
서울특별시,성북구,의료,여자,65세미만,0,0,0,0,0,0,0,0
서울특별시,성북구,의료,여자,65-69세,4,2,2,0,0,0,0,0
서울특별시,성북구,의료,여자,70-74세,4,2,0,0,1,1,0,0
서울특별시,성북구,의료,여자,75-79세,7,6,1,1,2,2,0,0
서울특별시,성북구,의료,여자,80-84세,10,5,1,0,1,1,2,2
서울특별시,성북구,의료,여자,85세이상,16,10,1,1,7,0,1,1
서울특별시,성북구,감경,남자,65세미만,20,17,3,2,10,2,0,2
